Visitation Date,Age,Country,Number of overnight stays
2015-08-10,40,PRT,*
2015-07-31,82,PRT,*
2015-08-12,38,FRA,2
2015-08-11,56,PRT,3
2015-08-12,38,FRA,2
2015-08-04,55,IRL,2
2015-08-12,38,FRA,2
2015-08-11,72,ESP,2
2015-08-12,38,FRA,2
2015-08-12,21,FRA,1
2015-08-21,44,FRA,9
2015-08-21,44,FRA,9
2015-07-05,72,USA,4
2015-08-16,20,IRL,8
2015-08-15,54,ESP,4
2015-08-14,66,PRT,5
2015-08-15,54,ESP,4
2015-08-12,21,FRA,1
2015-08-11,72,ESP,2
2015-08-21,44,FRA,9
2015-08-16,20,IRL,8
2015-08-15,54,ESP,4
2015-08-21,44,FRA,9
2015-08-15,54,ESP,4
2015-08-21,44,FRA,9
2015-08-15,54,ESP,4
2015-08-14,66,PRT,5
2015-08-16,20,IRL,8
2015-08-15,54,ESP,4
2015-08-21,44,FRA,9
2015-07-15,35,*,10
2015-08-21,44,FRA,9
2015-08-15,54,ESP,4
2015-08-08,17,ESP,5
2015-08-04,55,IRL,2
2015-08-04,55,IRL,2
2015-08-12,38,FRA,2
2015-08-12,21,FRA,1
2015-08-04,55,IRL,2
2015-07-15,45,EST,3
2015-08-12,21,FRA,1
2015-08-12,38,FRA,2
2015-08-12,21,FRA,1
2015-07-28,59,SVN,2
2015-07-26,17,ESP,6
2015-08-15,54,ESP,4
2015-08-15,54,ESP,4
2015-08-16,20,IRL,8
2015-07-26,17,ESP,6
2015-08-15,54,ESP,4
2015-08-15,54,ESP,4
2015-08-16,20,IRL,8
2015-07-16,21,OMN,10
2015-08-12,38,FRA,2
2015-07-26,63,BRA,2
2015-08-12,38,FRA,2
2015-08-11,72,ESP,2
2015-08-12,38,FRA,2
2015-08-12,38,FRA,2
2015-07-29,47,USA,1
2015-08-04,55,IRL,2
2015-08-04,55,IRL,2
2015-08-11,72,ESP,2
2015-08-12,21,FRA,1
2015-08-04,55,IRL,2
2015-08-13,57,USA,2
2015-08-04,55,IRL,2
2015-07-28,59,SVN,2
2015-08-12,21,FRA,1
2015-08-12,21,FRA,1
2015-08-12,38,FRA,2
2015-08-12,38,FRA,2
2015-08-11,72,ESP,2
2015-08-04,55,IRL,2
2015-08-12,21,FRA,1
2015-08-12,38,FRA,2
2015-08-12,38,FRA,2
